Date,Tube ID,Sample ID,Picture ID,Scale,Length,Width,Area,Notes,,,,,,,
3/10/16,M6,M6_L2,M6_L1toL8,1.011,0.152,0.114,0.014,,,,,,,,
3/10/16,M6,M6_L3,M6_L1toL8,1.011,0.138,0.105,0.012,,,,,,,,
3/10/16,M6,M6_L4,M6_L1toL8,1.011,0.134,0.111,0.012,,,,,,,,
3/10/16,M6,M6_L5,M6_L1toL8,1.011,0.128,0.112,0.012,,,,,,,,
3/10/16,M6,M6_L6,M6_L1toL8,1.011,0.125,0.116,0.01,,,,,,,,
3/10/16,M6,M6_L7,M6_L1toL8,1.011,0.14,0.113,0.013,,,,,,,,
3/10/16,M6,M6_L8,M6_L1toL8,1.011,0.146,0.108,0.014,,,,,,,,
3/10/16,M6,M6_L9,M6_L9toL15,1.026,0.149,0.11,0.014,,,,,,,,
3/10/16,M6,M6_L10,M6_L9toL15,1.026,0.142,0.114,0.013,,,,,,,,
3/10/16,M6,M6_L11,M6_L9toL15,1.026,0.118,0.098,0.01,,,,,,,,
3/10/16,M6,M6_L12,M6_L9toL15,1.026,0.121,0.096,0.01,,,,,,,,
3/10/16,M6,M6_L13,M6_L9toL15,1.026,0.135,0.111,0.012,,,,,,,,
3/10/16,M6,M6_L14,M6_L9toL15,1.026,0.121,0.102,0.01,,,,,,,,
3/10/16,M6,M6_L15,M6_L9toL15,1.026,0.148,0.12,0.014,,,,,,,,
3/10/16,M6,M6_L16,M6_L16toL20,1.033,0.159,0.116,0.015,,,,,,,,
3/10/16,M6,M6_L17,M6_L16toL20,1.033,0.145,0.124,0.015,,,,,,,,
3/10/16,M6,M6_L18,M6_L16toL20,1.033,0.143,0.126,0.015,,,,,,,,
3/10/16,M6,M6_L19,M6_L16toL20,1.033,0.139,0.112,0.013,,,,,,,,
3/10/16,M6,M6_L20,M6_L16toL20,1.033,0.144,0.114,0.014,,,,,,,,
3/10/16,M7,M7_L1,M7_L1toL5,1,0.111,0.097,0.009,,,,,,,,
3/10/16,M7,M7_L2,M7_L1toL5,1,0.144,0.106,0.013,,,,,,,,
3/10/16,M7,M7_L3,M7_L1toL5,1,0.139,0.113,0.012,,,,,,,,
3/10/16,M7,M7_L4,M7_L1toL5,1,0.124,0.089,0.01,,,,,,,,
3/10/16,M7,M7_L5,M7_L1toL5,1,0.124,0.107,0.011,,,,,,,,
3/10/16,M7,M7_L6,M7_L6toL7,1.026,0.124,0.108,0.011,,,,,,,,
3/10/16,M7,M7_L7,M7_L6toL7,1.026,0.142,0.112,0.013,,,,,,,,
